Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRC,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC_per_PA,wRC_plus
26,1960026247,J. French,Jacob French,French,Jacob,RF,University of California,CAL,730152448,California,BBC,L,R,0.432,47.523999999999994,19.5,53,651,218,195,0.39,0.44,0.564,1.004,0.174,9.2%,3.7%,2.5,1.8%,0.64,48.75,0.414,56.3%,0.432,40.0%,0.21799999999999997,19.96341651630351
27,1287384576,J. Smith,Jayden Smith,Smith,Jayden,CF,Utah Valley University,UVU,730263552,Utah Valley,BBC,R,R,0.446,58.794666666666664,25.8,53,842,256,208,0.389,0.5,0.51,1.01,0.12,16.4%,10.9%,1.5,0.0%,1.0,-,0.485,48.5%,0.446,73.7%,0.22966666666666666,21.096587387863142
28,1162567168,N. Sailors,Nolan Sailors,Sailors,Nolan,LF,Creighton University,CREI,730243840,Creighton,BBC,L,R,0.457,65.918,30.2,59,1025,276,226,0.389,0.485,0.584,1.069,0.195,14.9%,12.0%,1.24,2.2%,1.02,37.67,0.451,53.8%,0.457,93.1%,0.23883333333333337,21.960491373370388
29,1311156224,I. Barkett,Isaiah Barkett,Barkett,Isaiah,3B,Stetson University,STET,730261504,Stetson,BBC,R,R,0.418,52.82133333333333,20.2,54,975,256,221,0.389,0.461,0.498,0.958,0.109,3.5%,9.8%,0.36,0.8%,1.11,110.50,0.396,58.0%,0.418,86.5%,0.2063333333333333,18.909087387863146
30,1153726208,B. Simpson,Brayden Simpson,Simpson,Brayden,3B,High Point University,HP,730321152,High Point,BBC,R,R,0.517,80.5845,43.9,58,1066,279,234,0.389,0.477,0.774,1.25,0.385,16.5%,8.6%,1.92,7.9%,1.29,10.64,0.408,58.0%,0.517,93.3%,0.28883333333333333,26.75322941295275
31,1303156481,B. Burress,Braden Burress,Burress,Braden,LF,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,0.436,56.882666666666665,23.7,61,957,257,211,0.389,0.488,0.498,0.986,0.109,10.1%,12.1%,0.84,1.6%,0.9,52.75,0.429,56.0%,0.436,81.8%,0.22133333333333333,20.240252271131627
32,1912513890,D. Wouters,Dyrenson Wouters,Wouters,Dyrenson,SS,University of Dayton,DAY,730194688,Dayton,BBC,R,R,0.445,43.02066666666666,18.8,46,649,188,152,0.388,0.47,0.566,1.036,0.178,6.4%,8.5%,0.75,2.7%,0.87,30.40,0.386,58.6%,0.445,71.4%,0.2288333333333333,21.018462387863146
33,1306879489,D. Ruiz,Damian Ruiz,Ruiz,Damian,RF,Lamar University,LAM,730162432,Lamar,BBC,R,R,0.478,70.23533333333333,34.6,56,1052,274,214,0.388,0.511,0.607,1.119,0.22,9.9%,18.2%,0.54,2.6%,1.36,30.57,0.418,53.8%,0.478,93.3%,0.2563333333333333,23.646199614140517
33,1137012284,J. Oriach,Jordy Oriach,Oriach,Jordy,LF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,L,0.503,70.12316666666666,37.0,52,984,253,214,0.388,0.47,0.748,1.218,0.36,11.5%,11.5%,1.0,6.3%,1.25,13.38,0.39,59.9%,0.503,50.0%,0.2771666666666667,25.642968316716896
35,1264006400,L. Nowak,Luke Nowak,Nowak,Luke,LF,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,L,L,0.432,56.025999999999996,23.1,53,947,257,222,0.387,0.455,0.559,1.014,0.171,14.4%,10.9%,1.32,1.9%,1.04,44.40,0.44,55.4%,0.432,93.3%,0.21799999999999997,20.006789236112173
36,1318652416,T. Cohen,Trevor Cohen,Cohen,Trevor,RF,Rutgers University,RUTG,730229248,Rutgers,BBC,L,L,0.425,57.921499999999995,23.0,57,962,273,235,0.387,0.46,0.523,0.983,0.136,5.5%,11.0%,0.5,0.7%,0.79,117.50,0.403,58.8%,0.425,86.4%,0.21216666666666664,19.443370812771565
37,1139915009,B. Garner,Bradley Garner,Garner,Bradley,RF,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,0.49,66.58333333333333,34.0,52,972,250,199,0.387,0.496,0.668,1.164,0.281,15.6%,16.0%,0.97,4.0%,1.19,19.90,0.441,52.0%,0.49,88.5%,0.2663333333333333,24.618462387863143
38,1152902912,O. Prince,Owen Prince,Prince,Owen,CF,Virginia Military Institute,VMI,730173440,VMI,BBC,R,L,0.439,60.882666666666665,25.9,53,1065,272,215,0.386,0.507,0.474,0.982,0.088,9.2%,16.9%,0.54,0.7%,1.19,107.50,0.429,56.1%,0.439,83.6%,0.22383333333333333,20.540521211392555
39,1176027648,A. Raygoza,Armani Raygoza,Raygoza,Armani,1B,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,R,0.494,66.60766666666666,34.3,53,935,247,211,0.384,0.474,0.706,1.18,0.322,16.2%,10.9%,1.48,6.9%,0.89,12.41,0.416,57.8%,0.494,100.0%,0.26966666666666667,24.905102063976504
40,1122150400,K. Fossum,Kyle Fossum,Fossum,Kyle,RF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,0.52,79.82533333333333,43.8,57,1097,274,220,0.382,0.496,0.777,1.274,0.395,19.3%,16.8%,1.15,8.4%,1.18,9.57,0.418,56.2%,0.52,69.2%,0.29133333333333333,27.003863847717156
41,1108626176,H. Zipay,Henry Zipay,Zipay,Henry,3B,University of Nebraska-Omaha,NEOM,730235648,Omaha,BBC,L,R,0.445,51.4875,22.5,48,797,225,186,0.382,0.475,0.548,1.023,0.167,20.4%,10.2%,2.0,0.9%,0.9,93.00,0.5,47.1%,0.445,75.0%,0.22883333333333333,21.018462387863146
42,1076858579,K. Phillips,Kelton Phillips,Phillips,Kelton,CF,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,0.451,45.12983333333334,20.2,49,562,193,158,0.38,0.479,0.557,1.036,0.177,6.2%,11.9%,0.52,2.6%,1.04,31.60,0.39,58.2%,0.451,81.5%,0.23383333333333337,21.484783631386463
43,1995792238,C. Moran,CJ Moran,Moran,CJ,1B,San Diego State University,SDSU,730218496,San Diego State,BBC,L,R,0.412,38.65599999999999,14.1,44,706,192,159,0.377,0.458,0.484,0.943,0.107,11.5%,10.4%,1.1,0.0%,0.57,-,0.423,56.3%,0.412,50.0%,0.20133333333333328,18.362212387863142
44,1661336148,D. Toigo,Dean Toigo,Toigo,Dean,RF,UNLV,UNLV,730161664,UNLV,BBC,L,R,0.471,63.87749999999998,30.8,54,919,255,220,0.377,0.445,0.682,1.127,0.305,15.7%,7.8%,2.0,7.1%,0.81,12.22,0.392,59.0%,0.471,71.4%,0.25049999999999994,23.09689376041216
45,1770120373,T. Marsh,Tatum Marsh,Marsh,Tatum,LF,Stanford University,STAN,730251264,Stanford,BBC,R,R,0.427,45.33266666666666,18.2,50,801,212,175,0.377,0.459,0.526,0.985,0.149,11.3%,5.2%,2.18,1.4%,0.94,58.33,0.414,55.9%,0.427,44.4%,0.21383333333333332,19.603368048240498
46,1286192614,A. Donatto,Ahmar Donatto,Donatto,Ahmar,TWP,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,0.464,49.66733333333333,23.4,51,678,203,178,0.376,0.448,0.646,1.094,0.27,18.2%,8.9%,2.06,3.9%,0.84,22.25,0.444,52.6%,0.464,76.5%,0.24466666666666667,22.545555983922256
47,1135898880,K. Lewis,Kade Lewis,Lewis,Kade,3B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,R,0.462,68.526,32.0,60,1088,282,226,0.376,0.482,0.602,1.084,0.226,16.0%,16.0%,1.0,3.9%,0.77,20.55,0.423,57.1%,0.462,80.0%,0.243,22.365980118359595
48,1306732288,D. Grego,Dylan Grego,Grego,Dylan,SS,Ball State University,BALL,730195456,Ball State,BBC,S,R,0.443,62.698,27.2,58,1041,276,242,0.376,0.429,0.624,1.053,0.248,15.9%,8.0%,2.0,5.1%,1.0,17.29,0.405,57.4%,0.443,77.8%,0.22716666666666666,20.87353485163126
49,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,0.415,29.351999999999997,10.9,44,314,144,125,0.376,0.448,0.504,0.952,0.128,15.3%,9.0%,1.69,0.0%,0.73,-,0.452,51.0%,0.415,97.7%,0.2038333333333333,18.58790683230759
50,1238242304,Z. Payne,Zandt Payne,Payne,Zandt,SS,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,R,0.45,44.968999999999994,20.0,44,668,193,149,0.376,0.49,0.55,1.04,0.174,10.9%,10.4%,1.05,2.1%,0.82,37.25,0.403,55.8%,0.45,71.4%,0.23299999999999996,21.381156688381274
51,1156682240,J. McCladdie,Jordan McCladdie,McCladdie,Jordan,CF,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,0.468,60.264,28.8,51,807,243,181,0.376,0.521,0.564,1.085,0.188,9.1%,18.1%,0.5,1.6%,1.27,45.25,0.41,55.1%,0.468,92.5%,0.248,22.870314239714993
52,1324686592,C. Baillargeon,Chris Baillargeon,Baillargeon,Chris,1B,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,0.436,58.21066666666667,24.4,58,1039,263,205,0.376,0.49,0.507,0.998,0.132,18.3%,14.4%,1.26,1.1%,0.67,68.33,0.463,51.9%,0.436,100.0%,0.22133333333333333,20.296028927787095
53,1866053969,H. Jatczak,Hayden Jatczak,Jatczak,Hayden,3B,Kent State University,KENT,730315008,Kent State,BBC,R,R,0.514,77.02366666666667,41.7,56,1086,269,213,0.376,0.491,0.77,1.261,0.394,13.8%,17.1%,0.8,5.9%,1.41,13.31,0.39,57.9%,0.514,83.3%,0.28633333333333333,26.520321123922624
54,1239086592,T. Fenderson,Trey Fenderson,Fenderson,Trey,2B,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,0.437,44.87766666666666,18.9,51,742,202,163,0.374,0.477,0.521,0.999,0.147,12.4%,13.4%,0.93,1.0%,0.71,81.50,0.431,54.0%,0.437,82.4%,0.22216666666666665,20.374898031427502
55,1192538624,D. Taylor,Devin Taylor,Taylor,Devin,LF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,0.497,73.21283333333334,38.0,55,1049,269,214,0.374,0.494,0.706,1.2,0.332,11.2%,19.3%,0.58,6.7%,1.15,11.89,0.369,60.7%,0.497,75.0%,0.27216666666666667,25.144856439907752
56,1264056576,D. Ferrara,Dean Ferrara,Ferrara,Dean,3B,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,0.411,60.55099999999999,22.1,58,949,302,265,0.374,0.435,0.517,0.952,0.143,9.3%,9.3%,1.0,2.6%,1.12,33.13,0.391,58.8%,0.411,100.0%,0.20049999999999996,18.33634318256513
57,1336577280,C. Hacopian,Christopher Hacopian,Hacopian,Christopher,SS,University of Maryland-College Park,MD,730172928,Maryland,BBC,R,R,0.485,65.2795,32.8,52,918,249,193,0.373,0.502,0.648,1.15,0.275,7.6%,16.1%,0.47,5.6%,0.98,13.79,0.356,60.7%,0.485,33.3%,0.26216666666666666,24.19115315091535
58,1126276608,D. Cuvet,Daniel Cuvet,Cuvet,Daniel,3B,University of Miami,MIA,236,Miami,BBC,R,R,0.473,67.83283333333333,32.9,61,1012,269,226,0.372,0.45,0.708,1.158,0.336,19.0%,11.2%,1.7,6.7%,0.92,12.56,0.405,56.4%,0.473,85.7%,0.25216666666666665,23.248945659238608
59,1297576704,C. Canon,Cider Canon,Canon,Cider,RF,Davidson College,DAV,730363136,Davidson,BBC,R,R,0.495,64.64949999999999,33.4,48,837,239,202,0.371,0.46,0.733,1.193,0.361,19.7%,11.7%,1.68,7.1%,1.35,11.88,0.414,55.0%,0.495,90.9%,0.27049999999999996,24.993357785352682
60,1135887616,R. Gonzalez,Roberto Gonzalez,Gonzalez,Roberto,CF,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,R,0.465,50.573,23.9,45,777,206,167,0.371,0.478,0.611,1.089,0.24,13.6%,10.2%,1.33,2.4%,0.87,33.40,0.422,53.3%,0.465,75.0%,0.2455,22.620404135435955
61,1099815424,J. Gurevitch,Jack Gurevitch,Gurevitch,Jack,1B,University of San Diego,USD,5320,San Diego,BBC,R,R,0.484,72.38933333333333,36.3,56,1050,277,229,0.371,0.477,0.681,1.158,0.31,15.5%,12.6%,1.23,6.1%,1.0,13.47,0.4,57.1%,0.484,62.5%,0.2613333333333333,24.12315552865737
62,1162557440,L. McCollum,LeTrey McCollum,McCollum,LeTrey,CF,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,0.44,57.51466666666666,24.6,54,997,256,213,0.371,0.472,0.54,1.012,0.169,11.3%,10.2%,1.12,2.3%,0.91,35.50,0.41,55.6%,0.44,88.9%,0.22466666666666665,20.627837387863146
63,1123979264,J. Moroknek,Jack Moroknek,Moroknek,Jack,RF,Butler University,BUT,730283520,Butler,BBC,L,R,0.473,63.79816666666666,31.0,54,935,253,219,0.37,0.443,0.699,1.141,0.329,16.2%,10.3%,1.58,7.1%,1.06,12.17,0.387,60.7%,0.473,66.7%,0.25216666666666665,23.271426814740614
63,1204444928,R. Zaborowski,Ryland Zaborowski,Zaborowski,Ryland,1B,University of Georgia,UGA,226,Georgia,BBC,R,R,0.528,54.83200000000001,30.6,45,693,184,146,0.37,0.5,0.788,1.288,0.418,21.7%,15.8%,1.38,9.2%,0.91,8.59,0.416,57.3%,0.528,-,0.29800000000000004,27.64889717047184
65,1080840832,A. Paradine,Aidan Paradine,Paradine,Aidan,C,Siena College,SIE,730382592,Siena,BBC,L,R,0.441,52.315999999999995,22.5,53,682,232,192,0.37,0.474,0.536,1.011,0.167,7.8%,9.9%,0.78,3.0%,0.91,27.43,0.381,58.9%,0.441,0.0%,0.22549999999999998,20.71673824993211
66,1176373760,T. Bickers,Tyler Bickers,Bickers,Tyler,2B,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,R,R,0.43,60.14066666666666,24.6,58,1121,278,225,0.369,0.482,0.498,0.98,0.129,16.2%,16.5%,0.98,1.4%,0.86,56.25,0.444,54.5%,0.43,58.3%,0.21633333333333332,19.867383251172498
67,1202704384,N. Rodriguez,Nick Rodriguez,Rodriguez,Nick,2B,Missouri State University,MOSU,5382,Missouri State,BBC,L,R,0.477,67.96299999999998,33.3,55,966,266,228,0.368,0.444,0.702,1.145,0.333,13.5%,12.4%,1.09,6.8%,1.18,12.67,0.371,61.8%,0.477,40.0%,0.25549999999999995,23.537259380344345
67,1251440384,J. McAlister,Josh McAlister,McAlister,Josh,2B,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,0.492,53.6,27.4,46,752,200,171,0.368,0.452,0.731,1.183,0.363,24.5%,10.5%,2.33,8.5%,0.98,10.06,0.434,50.0%,0.492,93.3%,0.268,24.718462387863138
69,1318666496,E. Becker,Eric Becker,Becker,Eric,SS,University of Virginia,UVA,5415,Virginia,BBC,L,R,0.456,56.168,25.7,50,884,236,201,0.368,0.453,0.617,1.07,0.249,17.4%,8.9%,1.95,3.8%,1.08,22.33,0.425,53.6%,0.456,62.5%,0.238,21.908292896337716
70,1086580736,E. Madrigal,Eddie Madrigal,Madrigal,Eddie,1B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,R,0.486,76.796,38.7,62,1009,292,242,0.368,0.462,0.698,1.16,0.331,12.0%,9.6%,1.25,7.2%,1.06,11.52,0.36,63.0%,0.486,90.0%,0.263,24.27188704539739
71,1529112206,J. Legrande,Jon Legrande,Legrande,Jon,LF,St. John's University (NY),SJU,4285,St. John's,BBC,L,L,0.434,48.766,20.3,52,753,222,185,0.368,0.443,0.578,1.021,0.211,11.7%,10.4%,1.13,3.2%,0.87,26.43,0.389,58.0%,0.434,82.5%,0.21966666666666665,20.16260653200729
72,1193185792,L. Sutter,Logan Sutter,Sutter,Logan,1B,Purdue University,PUR,730353152,Purdue,BBC,R,R,0.487,63.84766666666666,32.3,54,904,242,196,0.367,0.471,0.709,1.18,0.342,19.4%,14.9%,1.31,6.2%,1.02,13.07,0.413,55.8%,0.487,100.0%,0.2638333333333333,24.365569825879675
73,1303465472,R. Kroepel,Ryan Kroepel,Kroepel,Ryan,3B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,R,0.423,51.361999999999995,20.2,55,907,244,207,0.367,0.442,0.546,0.988,0.179,16.0%,9.8%,1.63,2.5%,0.6,34.50,0.424,53.9%,0.423,57.1%,0.21049999999999996,19.297150912453308
74,1330699776,J. Layman,James Layman,Layman,James,3B,Wofford College,WOF,730176512,Wofford,BBC,L,R,0.433,44.86083333333333,18.5,49,865,205,158,0.367,0.493,0.481,0.974,0.114,21.0%,12.7%,1.65,0.5%,0.94,158.00,0.491,47.4%,0.433,82.1%,0.21883333333333332,20.042852631765584
74,1182038272,O. Hull,Owen Hull,Hull,Owen,RF,George Mason University,GMU,730265088,George Mason,BBC,L,R,0.447,68.689,30.3,61,1071,298,237,0.367,0.474,0.557,1.031,0.19,15.4%,13.8%,1.12,2.7%,1.36,29.63,0.432,53.6%,0.447,87.5%,0.23049999999999998,21.186247622762473
76,1332977920,M. O'Shaughnessy,Michael O'Shaughnessy,O'Shaughnessy,Michael,3B,Davidson College,DAV,730363136,Davidson,BBC,L,R,0.484,71.60533333333332,36.0,56,1025,274,218,0.367,0.482,0.688,1.17,0.321,17.9%,10.6%,1.69,6.2%,1.0,12.82,0.404,57.1%,0.484,50.0%,0.2613333333333333,24.157148519250004
77,1471059156,L. Williams,Landon Williams,Williams,Landon,3B,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,0.469,53.74799999999999,25.7,51,655,216,169,0.367,0.465,0.663,1.128,0.296,17.1%,12.5%,1.37,5.6%,0.88,14.08,0.394,59.8%,0.469,100.0%,0.2488333333333333,22.91661053601129
78,1306696448,J. Schaffner,Jake Schaffner,Schaffner,Jake,SS,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,R,0.395,49.03766666666667,15.7,55,935,262,229,0.367,0.435,0.467,0.902,0.1,10.3%,8.4%,1.23,0.8%,0.89,114.50,0.406,58.9%,0.395,81.8%,0.18716666666666668,17.010828800076883
79,1080823296,K. McDaniel,Kyle McDaniel,McDaniel,Kyle,2B,Utah Tech University,UTU,730318592,Utah Tech,BBC,L,R,0.417,51.37499999999999,19.4,55,956,250,210,0.367,0.464,0.481,0.945,0.114,8.4%,14.0%,0.6,1.6%,0.73,52.50,0.395,58.9%,0.417,76.9%,0.20549999999999996,18.778462387863144
79,1088524288,L. Trevino,Lee Trevino,Trevino,Lee,SS,Fresno State,FRES,730384384,Fresno State,BBC,R,R,0.377,29.096166666666665,7.7,45,608,169,150,0.367,0.431,0.407,0.838,0.04,10.1%,7.1%,1.42,0.6%,0.69,150.00,0.409,57.6%,0.377,100.0%,0.17216666666666666,15.574675405614624
